,user_id,visited,active,creation_time,name,email,creation_source,last_session_creation_time,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id
0,1,1.0,0,2014-04-22 03:53:30,Clausen August,AugustCClausen@yahoo.com,GUEST_INVITE,1398138810.0,1,0,11,10803.0
1,2,3.0,1,2013-11-15 03:45:04,Poole Matthew,MatthewPoole@gustr.com,ORG_INVITE,1396237504.0,0,0,1,316.0
2,3,2.0,0,2013-03-19 23:14:52,Bottrill Mitchell,MitchellBottrill@gustr.com,ORG_INVITE,1363734892.0,0,0,94,1525.0
3,4,3.0,1,2013-05-21 08:09:28,Clausen Nicklas,NicklasSClausen@yahoo.com,GUEST_INVITE,1369210168.0,0,0,1,5151.0
4,5,4.0,1,2013-01-17 10:14:20,Raw Grace,GraceRaw@yahoo.com,GUEST_INVITE,1358849660.0,0,0,193,5240.0
5,6,5.0,1,2013-12-17 03:37:06,Cunha Eduardo,EduardoPereiraCunha@yahoo.com,GUEST_INVITE,1387424226.0,0,0,197,11241.0
6,7,6.0,1,2012-12-16 13:24:32,Sewell Tyler,TylerSewell@jourrapide.com,SIGNUP,1356009872.0,0,1,37,
7,10,7.0,1,2013-01-16 22:08:03,Santos Carla,CarlaFerreiraSantos@gustr.com,ORG_INVITE,1401833283.0,1,1,318,4143.0
8,11,7.0,1,2013-12-26 03:55:54,Paulsen Malthe,MaltheAPaulsen@gustr.com,SIGNUP,1388116554.0,0,0,69,
9,13,7.0,1,2014-03-30 16:19:38,Fry Alexander,AlexanderDFry@cuvox.de,ORG_INVITE,1396196378.0,0,0,254,11204.0
10,14,7.0,1,2012-10-11 16:14:33,Rivera Bret,BretKRivera@gmail.com,SIGNUP,1350058473.0,0,0,0,
11,17,7.0,1,2014-04-09 14:39:38,Reynolds Anthony,AnthonyReynolds@jourrapide.com,GUEST_INVITE,1397313578.0,1,0,175,1600.0
12,19,7.0,1,2013-05-24 14:56:36,Collins Arlene,ArleneRCollins@gmail.com,SIGNUP,1369925796.0,1,0,0,
13,20,4.0,1,2014-03-06 11:46:38,Helms Mikayla,lqyvjilf@uhzdq.com,SIGNUP,1401363998.0,0,0,58,
14,21,3.0,1,2013-01-22 12:27:42,Hunter Alfie,AlfieHunter@gmail.com,PERSONAL_PROJECTS,1358857662.0,0,0,54,
15,22,4.0,1,2014-02-10 06:00:46,Myers Jordan,JordanMyers@gmail.com,ORG_INVITE,1392012046.0,0,0,7,2994.0
16,23,5.0,1,2012-08-17 08:30:27,Souza Alice,AliceAraujoSouza@gustr.com,ORG_INVITE,1345278627.0,1,0,6,23.0
17,24,6.0,1,2013-09-09 22:20:03,Woodruff James,JamesTWoodruff@cuvox.de,SIGNUP,1378765203.0,1,0,123,
18,25,7.0,1,2014-02-25 00:11:13,Stone Elise,EliseStone@jourrapide.com,GUEST_INVITE,1393373473.0,1,0,81,6312.0
19,27,7.0,1,2014-01-14 17:35:11,Santos Lu�s,LuisPintoSantos@gmail.com,ORG_INVITE,1389807311.0,0,0,134,4189.0
20,28,7.0,1,2013-02-11 20:00:25,Weissmuller Marko,MarkoWeissmuller@jourrapide.com,SIGNUP,1360872025.0,0,0,6,
21,29,7.0,1,2013-09-16 02:08:41,Fernandes Evelyn,EvelynSousaFernandes@jourrapide.com,SIGNUP,1379383721.0,0,0,92,
22,30,7.0,1,2013-06-04 00:44:25,Egger Leah,LeahEgger@jourrapide.com,GUEST_INVITE,1370306665.0,0,0,251,4835.0
23,31,7.0,1,2014-01-23 05:21:42,Moffitt Lily,LilyMoffitt@jourrapide.com,SIGNUP,1390540902.0,0,0,283,
24,33,7.0,1,2014-03-11 06:29:09,Araujo Jos�,JoseMartinsAraujo@cuvox.de,GUEST_INVITE,1401517749.0,0,0,401,79.0
25,36,3.0,1,2013-08-06 09:08:15,Andresen Peter,PeterTAndresen@cuvox.de,GUEST_INVITE,1375780095.0,1,0,109,6805.0
26,37,3.0,1,2012-09-25 14:37:23,Carr-Glyn Ella,EllaCarr-Glyn@yahoo.com,SIGNUP,1348670243.0,0,0,276,
27,41,4.0,1,2014-04-30 23:38:17,Herman Christian,ChristianHerman@hotmail.com,ORG_INVITE,1398901097.0,0,0,64,9286.0
28,42,7.0,1,2012-11-11 19:05:07,Pinto Giovanna,GiovannaCunhaPinto@cuvox.de,SIGNUP,1401044707.0,1,0,235,
29,43,4.0,1,2012-12-31 07:13:17,Gomes Beatrice,vgqmpljq@yyyxt.com,GUEST_INVITE,1366009997.0,0,0,63,149.0
30,44,2.0,0,2014-05-28 16:43:12,Vogel Jessika,JessikaVogel@jourrapide.com,SIGNUP,1401381792.0,0,0,14,
31,45,3.0,1,2014-04-29 21:55:19,Boxer Gabrielle,GabrielleBoxer@gmail.com,SIGNUP_GOOGLE_AUTH,1398894919.0,1,0,4,
32,46,4.0,1,2014-01-01 18:42:08,Landry Juliet,JulietTLandry@yahoo.com,ORG_INVITE,1388601728.0,0,0,127,2125.0
33,47,5.0,1,2012-06-07 13:23:02,Carrillo Hillary,HillaryJCarrillo@yahoo.com,ORG_INVITE,1339161782.0,1,1,32,11800.0
34,48,6.0,1,2013-11-03 14:37:00,Milton Randal,cawizywo@cslyn.com,ORG_INVITE,1383575820.0,0,0,224,526.0
35,49,7.0,1,2013-10-13 10:06:52,Thompson Terence,TerenceSThompson@hotmail.com,SIGNUP,1381658812.0,0,0,304,
36,50,7.0,1,2012-06-03 11:02:08,Oliveira Gabrielly,GabriellyAlmeidaOliveira@gmail.com,GUEST_INVITE,1350990128.0,0,0,61,50.0
37,51,2.0,0,2013-08-22 09:53:43,Pereira Bruna,BrunaCastroPereira@yahoo.com,ORG_INVITE,1377165223.0,0,1,0,9093.0
38,53,5.0,1,2013-02-09 23:47:15,Ribeiro Camila,CamilaGomesRibeiro@gmail.com,GUEST_INVITE,1367797635.0,0,0,37,3641.0
39,54,2.0,0,2013-03-17 12:31:27,Nilsson Michelle,MichelleMNilsson@hotmail.com,GUEST_INVITE,1363782687.0,1,1,51,3876.0
